r,t,y,TotalCapacityAnnual
"Region1","COM_CWH_LPG_001",2030,10.9558548554855
"Region1","COM_CWH_LPG_001",2031,10.9558548554855
"Region1","COM_CWH_LPG_001",2032,10.9558548554855
"Region1","COM_CWH_LPG_001",2033,10.9558548554856
"Region1","COM_CWH_LPG_001",2034,10.9558548554855
"Region1","COM_CWH_LPG_001",2035,10.9558548554855
"Region1","COM_CWH_NGS_001",2018,12.1731720672067
"Region1","COM_CWH_NGS_001",2019,11.1587410641064
"Region1","COM_CWH_NGS_001",2020,10.1443100510051
"Region1","COM_CWH_NGS_001",2021,9.12987904890489
"Region1","COM_CWH_NGS_001",2022,8.11544804380438
"Region1","COM_CWH_NGS_001",2023,7.10101703770377
"Region1","COM_CWH_NGS_001",2024,6.08658603260326
"Region1","COM_CWH_NGS_001",2025,5.07215502750275
"Region1","COM_CWH_NGS_001",2026,4.05772402140214
"Region1","COM_CWH_NGS_001",2027,3.04329301630163
"Region1","COM_CWH_NGS_001",2028,2.02886201120112
"Region1","COM_CWH_NGS_001",2029,1.01443100510051
"Region1","COM_CWH_NGS_001",2030,0
"Region1","COM_CWH_NGS_001",2031,0
"Region1","COM_CWH_NGS_001",2032,0
"Region1","COM_CWH_NGS_001",2033,0
"Region1","COM_CWH_NGS_001",2034,0
"Region1","COM_CWH_NGS_001",2035,0
"Region1","COM_EE",2018,0
"Region1","COM_EE",2019,0
"Region1","COM_EE",2020,5.708704079
"Region1","COM_EE",2021,11.41740816
"Region1","COM_EE",2022,17.12611224
"Region1","COM_EE",2023,22.83481632
"Region1","COM_EE",2024,28.5435204
"Region1","COM_EE",2025,34.25222448
"Region1","COM_EE",2026,39.96092856
"Region1","COM_EE",2027,45.66963264
"Region1","COM_EE",2028,51.37833672
"Region1","COM_EE",2029,57.08704079
"Region1","COM_EE",2030,68.50444895
"Region1","COM_EE",2031,73.69417993
"Region1","COM_EE",2032,78.88391092
"Region1","COM_EE",2033,84.0736419
"Region1","COM_EE",2034,89.26337288
"Region1","COM_EE",2035,94.45310386
"Region1","COM_EL_APP_001",2018,446.954314720812
"Region1","COM_EL_APP_001",2019,484.318346627991
"Region1","COM_EL_APP_001",2020,519.110005130572
"Region1","COM_EL_APP_001",2021,557.291801412154
"Region1","COM_EL_APP_001",2022,599.135671661378
"Region1","COM_EL_APP_001",2023,644.967939300015
"Region1","COM_EL_APP_001",2024,695.096798671791
"Region1","COM_EL_APP_001",2025,749.921089515649
"Region1","COM_EL_APP_001",2026,809.785264333401
"Region1","COM_EL_APP_001",2027,875.124421022074
"Region1","COM_EL_APP_001",2028,946.428044715823
"Region1","COM_EL_APP_001",2029,1024.14936240072
"Region1","COM_EL_APP_001",2030,1103.15980050613
"Region1","COM_EL_APP_001",2031,1195.93961267334
"Region1","COM_EL_APP_001",2032,1296.93189763693
"Region1","COM_EL_APP_001",2033,1406.78930226244
"Region1","COM_EL_APP_001",2034,1526.27324785967
"Region1","COM_EL_APP_001",2035,1656.1814139065
"Region1","GASIFICATION",2018,0
"Region1","GASIFICATION",2019,0
"Region1","GASIFICATION",2020,0
"Region1","GASIFICATION",2021,0
"Region1","GASIFICATION",2022,0
"Region1","GASIFICATION",2023,0
"Region1","GASIFICATION",2024,0
"Region1","GASIFICATION",2025,0
"Region1","GASIFICATION",2026,0
"Region1","GASIFICATION",2027,0
"Region1","GASIFICATION",2028,0
"Region1","GASIFICATION",2029,0
"Region1","GASIFICATION",2030,0
"Region1","GASIFICATION",2031,0
"Region1","GASIFICATION",2032,0
"Region1","GASIFICATION",2033,0
"Region1","GASIFICATION",2034,0
"Region1","GASIFICATION",2035,0
"Region1","IMP_DSL",2018,1508.20878405508
"Region1","IMP_DSL",2019,1440.59498929532
"Region1","IMP_DSL",2020,1367.02642565449
"Region1","IMP_DSL",2021,1295.94671530293
"Region1","IMP_DSL",2022,1218.49050643584
"Region1","IMP_DSL",2023,1141.33489790766
"Region1","IMP_DSL",2024,1086.69949155192
"Region1","IMP_DSL",2025,1032.40045236636
"Region1","IMP_DSL",2026,978.457227420407
"Region1","IMP_DSL",2027,924.890387981571
"Region1","IMP_DSL",2028,871.721694024411
"Region1","IMP_DSL",2029,818.974164042543
"Region1","IMP_DSL",2030,772.234873552386
"Region1","IMP_DSL",2031,749.507622598279
"Region1","IMP_DSL",2032,725.945456283147
"Region1","IMP_DSL",2033,704.204089281353
"Region1","IMP_DSL",2034,685.263496543478
"Region1","IMP_DSL",2035,671.839995410963
"Region1","IMP_GSL",2018,721.556766080468
"Region1","IMP_GSL",2019,699.184032326259
"Region1","IMP_GSL",2020,676.811298547748
"Region1","IMP_GSL",2021,654.43856479354
"Region1","IMP_GSL",2022,631.810722082529
"Region1","IMP_GSL",2023,610.486165480286
"Region1","IMP_GSL",2024,586.708190904209
"Region1","IMP_GSL",2025,563.716223503671
"Region1","IMP_GSL",2026,543.015002723032
"Region1","IMP_GSL",2027,520.202162064068
"Region1","IMP_GSL",2028,496.070276727533
"Region1","IMP_GSL",2029,473.683277694282
"Region1","IMP_GSL",2030,451.120751686616
"Region1","IMP_GSL",2031,428.645989099348
"Region1","IMP_GSL",2032,405.875680926873
"Region1","IMP_GSL",2033,383.327032010621
"Region1","IMP_GSL",2034,360.778383013481
"Region1","IMP_GSL",2035,381.624955510643
"Region1","IMP_KER",2018,157.05140130333
"Region1","IMP_KER",2019,159.276990537554
"Region1","IMP_KER",2020,161.922826017302
"Region1","IMP_KER",2021,165.016250504651
"Region1","IMP_KER",2022,171.504894081439
"Region1","IMP_KER",2023,172.664237746375
"Region1","IMP_KER",2024,179.466517162228
"Region1","IMP_KER",2025,184.683302679824
"Region1","IMP_KER",2026,197.471544936827
"Region1","IMP_KER",2027,210.635464492389
"Region1","IMP_KER",2028,201.903494048765
"Region1","IMP_KER",2029,209.801560481428
"Region1","IMP_KER",2030,224.787889530722
"Region1","IMP_KER",2031,241.288939744608
"Region1","IMP_KER",2032,258.461915413401
"Region1","IMP_KER",2033,276.942381110888
"Region1","IMP_KER",2034,296.13003270389
"Region1","IMP_KER",2035,295.123382373697
"Region1","IMP_LNG",2018,0
"Region1","IMP_LNG",2019,0
"Region1","IMP_LNG",2020,0
"Region1","IMP_LNG",2021,0
"Region1","IMP_LNG",2022,0
"Region1","IMP_LNG",2023,0
"Region1","IMP_LNG",2024,0
"Region1","IMP_LNG",2025,0
"Region1","IMP_LNG",2026,0
"Region1","IMP_LNG",2027,0
