r,t,y,CapitalInvestment
"Region1","BS_TRA_SHIP_FREIGHT",2031,0
"Region1","BS_TRA_SHIP_FREIGHT",2032,0
"Region1","BS_TRA_SHIP_FREIGHT",2033,0
"Region1","BS_TRA_SHIP_FREIGHT",2034,0
"Region1","BS_TRA_SHIP_FREIGHT",2035,0
"Region1","BS_TRA_SHIP_PSNG",2018,0
"Region1","BS_TRA_SHIP_PSNG",2019,0
"Region1","BS_TRA_SHIP_PSNG",2020,0
"Region1","BS_TRA_SHIP_PSNG",2021,0
"Region1","BS_TRA_SHIP_PSNG",2022,0
"Region1","BS_TRA_SHIP_PSNG",2023,0
"Region1","BS_TRA_SHIP_PSNG",2024,0
"Region1","BS_TRA_SHIP_PSNG",2025,0
"Region1","BS_TRA_SHIP_PSNG",2026,0
"Region1","BS_TRA_SHIP_PSNG",2027,0
"Region1","BS_TRA_SHIP_PSNG",2028,0
"Region1","BS_TRA_SHIP_PSNG",2029,0
"Region1","BS_TRA_SHIP_PSNG",2030,0
"Region1","BS_TRA_SHIP_PSNG",2031,0
"Region1","BS_TRA_SHIP_PSNG",2032,0
"Region1","BS_TRA_SHIP_PSNG",2033,0
"Region1","BS_TRA_SHIP_PSNG",2034,0
"Region1","BS_TRA_SHIP_PSNG",2035,0
"Region1","COM_CWH_BIO_001",2018,0.0025355310180018
"Region1","COM_CWH_BIO_001",2019,0.00274396282108211
"Region1","COM_CWH_BIO_001",2020,0.00296952864276428
"Region1","COM_CWH_BIO_001",2021,0.00321363695829583
"Region1","COM_CWH_BIO_001",2022,0.00347781205680568
"Region1","COM_CWH_BIO_001",2023,0.00376370351675167
"Region1","COM_CWH_BIO_001",2024,0.00407309650675067
"Region1","COM_CWH_BIO_001",2025,0.00440792295969598
"Region1","COM_CWH_BIO_001",2026,0.00477027361766176
"Region1","COM_CWH_BIO_001",2027,0.00516241110311031
"Region1","COM_CWH_BIO_001",2028,0.00558678400850085
"Region1","COM_CWH_BIO_001",2029,0.00604604223772377
"Region1","COM_CWH_BIO_001",2030,0.00654305350075008
"Region1","COM_CWH_BIO_001",2031,0.00708092129032903
"Region1","COM_CWH_BIO_001",2032,0.00766300417361736
"Region1","COM_CWH_BIO_001",2033,0.00829293684498449
"Region1","COM_CWH_BIO_001",2034,0.00897465274027403
"Region1","COM_CWH_BIO_001",2035,0.00971240868986897
"Region1","COM_CWH_DSL_001",2018,0.00417896089808981
"Region1","COM_CWH_DSL_001",2019,0.000343528972897288
"Region1","COM_CWH_DSL_001",2020,0.000371768566856686
"Region1","COM_CWH_DSL_001",2021,0.000402329577957797
"Region1","COM_CWH_DSL_001",2022,0.00043540284028403
"Region1","COM_CWH_DSL_001",2023,0.000471194868486845
"Region1","COM_CWH_DSL_001",2024,0.000509929160916095
"Region1","COM_CWH_DSL_001",2025,0.000551847581758174
"Region1","COM_CWH_DSL_001",2026,0.000597211880188019
"Region1","COM_CWH_DSL_001",2027,0.000646305324532456
"Region1","COM_CWH_DSL_001",2028,0.00069943446644663
"Region1","COM_CWH_DSL_001",2029,0.000756931057105659
"Region1","COM_CWH_DSL_001",2030,0.000819154124412506
"Region1","COM_CWH_DSL_001",2031,0.000886492189218924
"Region1","COM_CWH_DSL_001",2032,0.000959365756575659
"Region1","COM_CWH_DSL_001",2033,0.0010382298329833
"Region1","COM_CWH_DSL_001",2034,0.00112357689768977
"Region1","COM_CWH_DSL_001",2035,0.0012159398639864
"Region1","COM_CWH_KER_001",2018,0.000296906635763576
"Region1","COM_CWH_KER_001",2019,2.44070318031804e-05
"Region1","COM_CWH_KER_001",2020,2.64133972397237e-05
"Region1","COM_CWH_KER_001",2021,2.85846947694771e-05
"Region1","COM_CWH_KER_001",2022,3.09344824482448e-05
"Region1","COM_CWH_KER_001",2023,3.34774329432943e-05
"Region1","COM_CWH_KER_001",2024,3.62294252425242e-05
"Region1","COM_CWH_KER_001",2025,3.92076434643467e-05
"Region1","COM_CWH_KER_001",2026,4.24306841684164e-05
"Region1","COM_CWH_KER_001",2027,4.59186731673171e-05
"Region1","COM_CWH_KER_001",2028,4.96933902390238e-05
"Region1","COM_CWH_KER_001",2029,5.3778405440544e-05
"Region1","COM_CWH_KER_001",2030,5.81992270227022e-05
"Region1","COM_CWH_KER_001",2031,6.29834595459546e-05
"Region1","COM_CWH_KER_001",2032,6.81609770977104e-05
"Region1","COM_CWH_KER_001",2033,7.37641093109305e-05
"Region1","COM_CWH_KER_001",2034,7.98278440844084e-05
"Region1","COM_CWH_KER_001",2035,8.63900430043008e-05
"Region1","COM_CWH_LPG_001",2018,0.00109558548554855
"Region1","COM_CWH_LPG_001",2019,9.00619481948196e-05
"Region1","COM_CWH_LPG_001",2020,9.74654355435544e-05
"Region1","COM_CWH_LPG_001",2021,0.000105477523752376
"Region1","COM_CWH_LPG_001",2022,0.000114148239823982
"Region1","COM_CWH_LPG_001",2023,0.000123531728172824
"Region1","COM_CWH_LPG_001",2024,0.000133686578657859
"Region1","COM_CWH_LPG_001",2025,0.000144676204620462
"Region1","COM_CWH_LPG_001",2026,0.000156569224922492
"Region1","COM_CWH_LPG_001",2027,0.0001694399039904
"Region1","COM_CWH_LPG_001",2028,0.000183368608860886
"Region1","COM_CWH_LPG_001",2029,0.000198442316231623
"Region1","COM_CWH_LPG_001",2030,0.000214755148514852
"Region1","COM_CWH_LPG_001",2031,0.00023240896589659
"Region1","COM_CWH_LPG_001",2032,0.00025151400540054
"Region1","COM_CWH_LPG_001",2033,0.000272189562956307
"Region1","COM_CWH_LPG_001",2034,0.00029456474247425
"Region1","COM_CWH_LPG_001",2035,0.000318779260926094
"Region1","COM_CWH_NGS_001",2018,0.00121731720672067
"Region1","COM_CWH_NGS_001",2019,0.00131738603660366
"Region1","COM_CWH_NGS_001",2020,0.00142568096609661
"Region1","COM_CWH_NGS_001",2021,0.00154287821382138
"Region1","COM_CWH_NGS_001",2022,0.0016697095919592
"Region1","COM_CWH_NGS_001",2023,0.00180696706770677
"Region1","COM_CWH_NGS_001",2024,0.00195550771077108
"Region1","COM_CWH_NGS_001",2025,0.00211625904890489
